onset	duration	onset_sample	stim_type	trigger	stim_file
27.683	0	28.233	Famous	5	meg/f135.bmp
31.175	0	31.725	Famous	6	meg/f135.bmp
34.721	0	35.271	Famous	5	meg/f076.bmp
38.047	0	38.597	Famous	5	meg/f012.bmp
41.483	0	42.033	Famous	6	meg/f012.bmp
44.956	0	45.506	Unfamiliar	13	meg/u070.bmp
48.393	0	48.943	Scrambled	17	meg/s095.bmp
51.81	0	52.36	Scrambled	18	meg/s095.bmp
55.32	0	55.87	Famous	5	meg/f059.bmp
58.959	0	59.509	Scrambled	17	meg/s089.bmp
62.487	0	63.037	Scrambled	18	meg/s089.bmp
66.088	0	66.638	Famous	7	meg/f076.bmp
69.617	0	70.167	Famous	5	meg/f097.bmp
73.273	0	73.823	Famous	6	meg/f097.bmp
76.82	0	77.37	Scrambled	17	meg/s045.bmp
80.293	0	80.843	Scrambled	18	meg/s045.bmp
83.729	0	84.279	Unfamiliar	15	meg/u070.bmp
87.129	0	87.679	Famous	5	meg/f064.bmp
90.528	0	91.078	Famous	5	meg/f036.bmp
93.909	0	94.459	Famous	6	meg/f036.bmp
97.29	0	97.84	Famous	7	meg/f059.bmp
100.745	0	101.295	Scrambled	17	meg/s145.bmp
104.255	0	104.805	Scrambled	17	meg/s064.bmp
107.636	0	108.186	Scrambled	17	meg/s109.bmp
111.182	0	111.732	Scrambled	17	meg/s072.bmp
114.655	0	115.205	Famous	7	meg/f064.bmp
118.0	0	118.55	Scrambled	17	meg/s021.bmp
121.454	0	122.004	Scrambled	18	meg/s021.bmp
124.982	0	125.532	Unfamiliar	13	meg/u028.bmp
128.621	0	129.171	Unfamiliar	14	meg/u028.bmp
132.278	0	132.828	Scrambled	19	meg/s145.bmp
135.861	0	136.411	Scrambled	17	meg/s083.bmp
139.389	0	139.939	Scrambled	19	meg/s064.bmp
142.862	0	143.412	Unfamiliar	13	meg/u045.bmp
146.298	0	146.848	Scrambled	19	meg/s109.bmp
149.662	0	150.212	Unfamiliar	13	meg/u098.bmp
153.244	0	153.794	Unfamiliar	14	meg/u098.bmp
156.754	0	157.304	Scrambled	19	meg/s072.bmp
160.264	0	160.814	Scrambled	17	meg/s103.bmp
163.627	0	164.177	Scrambled	17	meg/s118.bmp
167.008	0	167.558	Unfamiliar	13	meg/u089.bmp
170.444	0	170.994	Scrambled	19	meg/s083.bmp
173.9	0	174.45	Scrambled	17	meg/s087.bmp
177.372	0	177.922	Scrambled	18	meg/s087.bmp
180.863	0	181.413	Unfamiliar	15	meg/u045.bmp
184.373	0	184.923	Unfamiliar	13	meg/u025.bmp
187.791	0	188.341	Unfamiliar	14	meg/u025.bmp
191.264	0	191.814	Scrambled	17	meg/s044.bmp
194.663	0	195.213	Scrambled	19	meg/s103.bmp
198.265	0	198.815	Unfamiliar	13	meg/u123.bmp
201.719	0	202.269	Unfamiliar	14	meg/u123.bmp
205.137	0	205.687	Scrambled	19	meg/s118.bmp
208.702	0	209.252	Famous	5	meg/f061.bmp
212.12	0	212.67	Famous	6	meg/f061.bmp
215.446	0	215.996	Unfamiliar	15	meg/u089.bmp
218.864	0	219.414	Unfamiliar	13	meg/u102.bmp
222.245	0	222.795	Unfamiliar	13	meg/u061.bmp
225.608	0	226.158	Unfamiliar	14	meg/u061.bmp
229.117	0	229.667	Unfamiliar	13	meg/u030.bmp
232.48	0	233.03	Unfamiliar	14	meg/u030.bmp
235.788	0	236.338	Scrambled	19	meg/s044.bmp
239.316	0	239.866	Scrambled	17	meg/s051.bmp
242.863	0	243.413	Unfamiliar	13	meg/u086.bmp
246.336	0	246.886	Unfamiliar	14	meg/u086.bmp
249.772	0	250.322	Unfamiliar	13	meg/u143.bmp
253.226	0	253.776	Unfamiliar	14	meg/u143.bmp
256.681	0	257.231	Unfamiliar	15	meg/u102.bmp
260.117	0	260.667	Famous	5	meg/f058.bmp
263.645	0	264.195	Unfamiliar	13	meg/u044.bmp
267.21	0	267.76	Unfamiliar	14	meg/u044.bmp
270.647	0	271.197	Famous	5	meg/f042.bmp
274.23	0	274.78	Scrambled	19	meg/s051.bmp
277.795	0	278.345	Famous	5	meg/f037.bmp
281.213	0	281.763	Famous	6	meg/f037.bmp
284.722	0	285.272	Scrambled	17	meg/s013.bmp
288.342	0	288.892	Unfamiliar	13	meg/u064.bmp
291.797	0	292.347	Famous	7	meg/f058.bmp
295.27	0	295.82	Unfamiliar	13	meg/u069.bmp
298.78	0	299.33	Famous	5	meg/f141.bmp
302.381	0	302.931	Famous	7	meg/f042.bmp
305.781	0	306.331	Famous	5	meg/f052.bmp
309.346	0	309.896	Scrambled	17	meg/s060.bmp
312.727	0	313.277	Scrambled	19	meg/s013.bmp
316.273	0	316.823	Unfamiliar	13	meg/u092.bmp
319.82	0	320.37	Unfamiliar	15	meg/u064.bmp
323.385	0	323.935	Scrambled	17	meg/s076.bmp
326.839	0	327.389	Scrambled	18	meg/s076.bmp
330.349	0	330.899	Unfamiliar	15	meg/u069.bmp
333.785	0	334.335	Famous	5	meg/f027.bmp
337.35	0	337.9	Famous	6	meg/f027.bmp
340.97	0	341.52	Famous	7	meg/f141.bmp
344.59	0	345.14	Unfamiliar	13	meg/u141.bmp
348.137	0	348.687	Unfamiliar	14	meg/u141.bmp
351.555	0	352.105	Famous	7	meg/f052.bmp
355.193	0	355.743	Famous	5	meg/f006.bmp
358.703	0	359.253	Scrambled	19	meg/s060.bmp
362.157	0	362.707	Famous	5	meg/f083.bmp
365.594	0	366.144	Famous	6	meg/f083.bmp
369.122	0	369.672	Unfamiliar	15	meg/u092.bmp
372.779	0	373.329	Scrambled	17	meg/s094.bmp
376.196	0	376.746	Scrambled	17	meg/s035.bmp
379.798	0	380.348	Scrambled	18	meg/s035.bmp
383.161	0	383.711	Famous	5	meg/f084.bmp
386.689	0	387.239	Famous	6	meg/f084.bmp
390.015	0	390.565	Famous	5	meg/f142.bmp
393.488	0	394.038	Famous	7	meg/f006.bmp
397.071	0	397.621	Unfamiliar	13	meg/u060.bmp
400.508	0	401.058	Unfamiliar	14	meg/u060.bmp
404.072	0	404.622	Unfamiliar	13	meg/u003.bmp
407.637	0	408.187	Unfamiliar	14	meg/u003.bmp
411.129	0	411.679	Scrambled	19	meg/s094.bmp
414.638	0	415.188	Famous	5	meg/f094.bmp
418.13	0	418.68	Famous	6	meg/f094.bmp
421.511	0	422.061	Famous	5	meg/f106.bmp
424.947	0	425.497	Famous	6	meg/f106.bmp
428.494	0	429.044	Scrambled	17	meg/s149.bmp
431.912	0	432.462	Famous	7	meg/f142.bmp
435.532	0	436.082	Scrambled	17	meg/s012.bmp
438.968	0	439.518	Unfamiliar	13	meg/u047.bmp
442.331	0	442.881	Scrambled	17	meg/s086.bmp
445.84	0	446.39	Unfamiliar	13	meg/u130.bmp
449.24	0	449.79	Scrambled	17	meg/s080.bmp
452.677	0	453.227	Scrambled	19	meg/s149.bmp
456.186	0	456.736	Scrambled	17	meg/s108.bmp
459.586	0	460.136	Scrambled	19	meg/s012.bmp
463.205	0	463.755	Unfamiliar	13	meg/u083.bmp
466.752	0	467.302	Unfamiliar	15	meg/u047.bmp
470.133	0	470.683	Unfamiliar	13	meg/u149.bmp
473.569	0	474.119	Scrambled	19	meg/s086.bmp
476.969	0	477.519	Unfamiliar	13	meg/u118.bmp
480.442	0	480.992	Unfamiliar	14	meg/u118.bmp
484.043	0	484.593	Unfamiliar	15	meg/u130.bmp
487.461	0	488.011	Famous	5	meg/f007.bmp
490.989	0	491.539	Famous	6	meg/f007.bmp
494.462	0	495.012	Scrambled	19	meg/s080.bmp
498.064	0	498.614	Scrambled	17	meg/s066.bmp
501.611	0	502.161	Scrambled	18	meg/s066.bmp
504.918	0	505.468	Scrambled	19	meg/s108.bmp
508.354	0	508.904	Famous	5	meg/f123.bmp
511.791	0	512.341	Unfamiliar	15	meg/u083.bmp
515.356	0	515.906	Famous	5	meg/f031.bmp
518.847	0	519.397	Famous	6	meg/f031.bmp
522.375	0	522.925	Unfamiliar	15	meg/u149.bmp
525.904	0	526.454	Unfamiliar	13	meg/u057.bmp
529.505	0	530.055	Famous	5	meg/f086.bmp
532.868	0	533.418	Famous	6	meg/f086.bmp
536.322	0	536.872	Famous	5	meg/f004.bmp
539.74	0	540.29	Famous	6	meg/f004.bmp
